pctChg1,pctChg2,pctChg3,pctChg4,pctChg5,pctChg6,pctChg7,pctChg8,pctChg9,pctChg10,pctChg11,pctChg12,pctChg13,pctChg14,y
-2.253,3.878,-6.473,-1.047,-0.317,2.909,3.735,-0.403,-0.227,3.406,4.425,0.658,0.244,-0.23,1
3.878,-6.473,-1.047,-0.317,2.909,3.735,-0.403,-0.227,3.406,4.425,0.658,0.244,-0.23,-1.646,0
-6.473,-1.047,-0.317,2.909,3.735,-0.403,-0.227,3.406,4.425,0.658,0.244,-0.23,-1.646,0.451,1
-1.047,-0.317,2.909,3.735,-0.403,-0.227,3.406,4.425,0.658,0.244,-0.23,-1.646,0.451,1.103,0
-0.317,2.909,3.735,-0.403,-0.227,3.406,4.425,0.658,0.244,-0.23,-1.646,0.451,1.103,0.522,0
2.909,3.735,-0.403,-0.227,3.406,4.425,0.658,0.244,-0.23,-1.646,0.451,1.103,0.522,2.369,0
3.735,-0.403,-0.227,3.406,4.425,0.658,0.244,-0.23,-1.646,0.451,1.103,0.522,2.369,-0.549,1
-0.403,-0.227,3.406,4.425,0.658,0.244,-0.23,-1.646,0.451,1.103,0.522,2.369,-0.549,1.089,1
-0.227,3.406,4.425,0.658,0.244,-0.23,-1.646,0.451,1.103,0.522,2.369,-0.549,1.089,-0.444,0
3.406,4.425,0.658,0.244,-0.23,-1.646,0.451,1.103,0.522,2.369,-0.549,1.089,-0.444,0.573,0
4.425,0.658,0.244,-0.23,-1.646,0.451,1.103,0.522,2.369,-0.549,1.089,-0.444,0.573,1.326,1
0.658,0.244,-0.23,-1.646,0.451,1.103,0.522,2.369,-0.549,1.089,-0.444,0.573,1.326,3.95,1
0.244,-0.23,-1.646,0.451,1.103,0.522,2.369,-0.549,1.089,-0.444,0.573,1.326,3.95,-0.06,0
-0.23,-1.646,0.451,1.103,0.522,2.369,-0.549,1.089,-0.444,0.573,1.326,3.95,-0.06,2.357,0
-1.646,0.451,1.103,0.522,2.369,-0.549,1.089,-0.444,0.573,1.326,3.95,-0.06,2.357,-0.32,0
0.451,1.103,0.522,2.369,-0.549,1.089,-0.444,0.573,1.326,3.95,-0.06,2.357,-0.32,-0.905,0
1.103,0.522,2.369,-0.549,1.089,-0.444,0.573,1.326,3.95,-0.06,2.357,-0.32,-0.905,0.632,0
0.522,2.369,-0.549,1.089,-0.444,0.573,1.326,3.95,-0.06,2.357,-0.32,-0.905,0.632,-0.731,1
